Course,Section,Time,Location,Enrollment,Classification,Day
BIEN 2310,L1,Mo 01:30PM - 02:50PM,"Rm 4402, Lift 17-18",25,Lift 17-18,Mo
BIEN 2310,L1,Fr 09:00AM - 10:20AM,"Rm 4402, Lift 17-18",25,Lift 17-18,Fr
BIEN 2310,T1,Mo 03:00PM - 03:50PM,"Rm 4402, Lift 17-18",25,Lift 17-18,Mo
BIEN 2610,L1,MoWe 09:00AM - 10:20AM,"Rm 4475, Lift 25-26 (30)",19,Lift 25-26,MoWe
BIEN 2610,T1,We 10:30AM - 11:20AM,"Rm 5508, Lift 25-26 (30)",19,Lift 25-26,We
BIEN 2990,T1,Mo 12:00PM - 12:50PM,"Rm 4472, Lift 25-26 (30)",26,Lift 25-26,Mo
BIEN 3300,L1,Mo 04:30PM - 05:50PM,"Rm 1410, Lift 25-26 (60)",18,Lift 25-26,Mo
BIEN 3300,L1,Fr 12:00PM - 01:20PM,"Rm 1410, Lift 25-26 (60)",18,Lift 25-26,Fr
BIEN 3300,T1,Mo 06:00PM - 06:50PM,"Rm 1410, Lift 25-26 (60)",18,Lift 25-26,Mo
BIEN 3310,L1,TuTh 01:30PM - 02:50PM,"Rm 4502, Lift 25-26 (60)",10,Lift 25-26,TuTh
BIEN 3310,T1,TBA,TBA,10,TBA,TBA
BIEN 3410,L1,TuTh 03:00PM - 04:20PM,"Rm 2463, Lift 25-26 (42)",27,Lift 25-26,TuTh
BIEN 3410,T1,Th 06:00PM - 06:50PM,"Rm 1014, LSK Bldg (80)",27,LSK Bldg,Th
BIEN 3910,T1,Mo 10:30AM - 11:50AM,"Rm 2007, CYT Bldg",25,CYT Bldg,Mo
BIEN 3910,LA1,We 12:00PM - 04:20PM,"Rm 2007, CYT Bldg",25,CYT Bldg,We
BIEN 4920,T1,Tu 06:00PM - 06:50PM,TBA,18,TBA,Tu
BIEN 4930,T1,Tu 06:00PM - 06:50PM,TBA,5,TBA,Tu
BIEN 4940,T1,Tu 06:00PM - 06:50PM,TBA,4,TBA,Tu
BIEN 4990,T1,Tu 12:00PM - 01:20PM,"Rm 2126D, Lift 19 (34)",31,Lift 19,Tu
BIEN 5040,L1,We 03:00PM - 05:50PM,Lecture Theater H (72),48,Lecture Theater H,We
BIEN 5050,L1,"14-SEP-2023 - 30-NOV-2023
Th 09:00AM - 11:20AM",TBA,25,TBA,Th
BIEN 5050,T1,TBA,TBA,25,TBA,TBA
BIEN 6800Y,T1,Mo 03:00PM - 04:20PM,Lecture Theater H (72),45,Lecture Theater H,Mo
BIEN 6990,R1,TBA,TBA,4,TBA,TBA
BIEN 7990,R1,TBA,TBA,26,TBA,TBA
BSBE 6990,R1,TBA,TBA,1,TBA,TBA
BSBE 7990,R1,TBA,TBA,10,TBA,TBA
BTEC 5360,L1,"07-SEP-2023 - 07-SEP-2023
Th 03:00PM - 04:50PM","G009B, CYT Bldg (70)",30,CYT Bldg,Th
BTEC 5360,LA1,TBA,TBA,30,TBA,TBA
BTEC 5630,L1,"26-AUG-2023 - 26-AUG-2023
Sa 02:00PM - 05:20PM","Rm 2304, Lift 17-18 (76)",54,Lift 17-18,Sa
BTEC 5630,T1,"26-AUG-2023 - 26-AUG-2023
Sa 05:30PM - 05:50PM","Rm 2304, Lift 17-18 (76)",54,Lift 17-18,Sa
BTEC 5760,L1,"26-AUG-2023 - 26-AUG-2023
Sa 09:00AM - 12:20PM","Rm 2304, Lift 17-18 (76)",67,Lift 17-18,Sa
BTEC 5760,T1,"26-AUG-2023 - 26-AUG-2023
Sa 12:30PM - 12:50PM","Rm 2304, Lift 17-18 (76)",67,Lift 17-18,Sa
BTEC 5900,L1,Tu 07:30PM - 09:20PM,"Rm 1410, Lift 25-26 (60)",32,Lift 25-26,Tu
BTEC 5900,T1,Tu 09:30PM - 10:20PM,"Rm 1410, Lift 25-26 (60)",32,Lift 25-26,Tu
BTEC 6900,L1,TBA,TBA,25,TBA,TBA
BTEC 6900,T1,TBA,TBA,25,TBA,TBA
BTEC 6930,L1,TBA,TBA,25,TBA,TBA
BTEC 6930,LA1,TBA,TBA,25,TBA,TBA
CENG 1000,L1,TuTh 04:30PM - 05:50PM,"G010, CYT Bldg (140)",95,CYT Bldg,TuTh
CENG 1000,T1,Tu 06:00PM - 06:50PM,"G010, CYT Bldg (140)",95,CYT Bldg,Tu
CENG 1010,T1,Mo 12:00PM - 12:50PM,"G010, CYT Bldg (140)",23,CYT Bldg,Mo
